#,MLS #,Status,Area,Address,Zip,# Beds Total,# Baths Full,# Baths Half,# Living,# Stories,# Garage Spaces,Year Built,Acres,Sqft Total,LP$SqFt,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date,ADOM,CDOM
90,8685116,S,1A,4019 Walnut Clay DR,78731,4,3,0,2,2,2,1998,0.34,"3,018",$260.11 ,"$785,000 ",$251.82 ,"$760,000 ",10/5/2015,10,10
91,7317894,S,1A,5102 Backtrail DR,78731,4,3,1,2,2,3,1983,0.38,"3,639",$219.57 ,"$799,000 ",$211.60 ,"$770,000 ",12/23/2015,38,38
92,1465290,S,1A,3907 Walnut Clay DR,78731,5,4,1,4,3,2,1991,0.28,"4,792",$172.16 ,"$825,000 ",$164.86 ,"$790,000 ",6/19/2015,10,10
93,3745002,S,1A,6006 Mesa DR,78731,4,2,0,3,3,4,1986,0.41,"3,586",$223.06 ,"$799,900 ",$221.70 ,"$795,000 ",9/30/2015,21,21
94,4379001,S,1A,6604 Sumac DR,78731,4,2,0,2,1,2,1973,0.34,"2,753",$299.67 ,"$825,000 ",$290.59 ,"$800,000 ",10/16/2015,8,8
95,7433076,S,1A,4003 Far West BLVD,78731,6,4,0,2,2,2,1968,0.35,"3,673",$231.42 ,"$850,000 ",$217.81 ,"$800,000 ",8/24/2015,69,69
96,8706775,S,1A,7631 Rockpoint DR,78731,4,3,1,3,2,2,1973,0.23,"3,275",$244.24 ,"$799,900 ",$245.50 ,"$804,000 ",7/20/2015,6,6
97,7187438,S,1A,6002 Mountain Villa DR,78731,4,3,1,2,2,2,1988,0.36,"3,519",$241.55 ,"$850,000 ",$236.43 ,"$832,000 ",9/22/2015,81,81
98,2380732,S,1A,7520 Stonecliff DR,78731,4,4,1,3,3,2,1977,0.43,"3,561",$229.99 ,"$819,000 ",$234.48 ,"$835,000 ",8/26/2015,3,3
99,6898901,S,1A,7630 Parkview CIR,78731,5,3,0,2,2,3,2011,0.41,"3,411",$255.06 ,"$870,000 ",$248.61 ,"$848,000 ",11/16/2015,16,16
100,6894219,S,1A,6510 Mesa DR,78731,4,2,1,2,2,2,1967,0.36,"2,767",$312.61 ,"$865,000 ",$320.74 ,"$887,500 ",9/22/2015,2,2
101,4318601,S,1A,4605 West Rim CV,78731,4,3,1,3,2,2,2002,0.22,"3,713",$249.12 ,"$925,000 ",$249.12 ,"$925,000 ",8/13/2015,2,2
102,3686791,S,1A,6004 Lonesome Valley TRL,78731,3,4,0,2,2,3,1992,0.33,"3,014",$314.83 ,"$948,900 ",$308.39 ,"$929,500 ",10/26/2015,12,12
103,2103865,S,1A,6104 Mesa DR,78731,4,3,0,3,2,3,2015,0.27,"3,941",$243.59 ,"$959,990 ",$243.32 ,"$958,916 ",9/29/2015,,
104,1795124,S,1A,4717 Twin Valley DR,78731,4,3,1,2,3,2,1998,0.33,"4,711",$233.50 ,"$1,100,000 ",$221.68 ,"$1,044,330 ",8/14/2015,14,14
105,4235041,S,1A,6406 Dry Cliff CV,78731,4,3,1,2,2,2,2008,2.04,"3,674",$326.35 ,"$1,199,000 ",$322.54 ,"$1,185,000 ",12/14/2015,13,13
106,4992693,S,1A,6101 Mesa DR,78731,5,5,1,3,2,2,1999,2.62,"4,456",$313.06 ,"$1,395,000 ",$299.60 ,"$1,335,000 ",12/11/2015,7,7
107,5101118,S,1A,5905 Lookout Mountain DR,78731,5,4,1,3,1,2,2013,0.47,"4,423",$315.40 ,"$1,395,000 ",$310.31 ,"$1,372,500 ",12/8/2015,,
108,7925659,S,1B,5206 Valley Oak DR,78731,2,1,0,2,1,1,1950,0.27,"1,164",$350.52 ,"$408,000 ",$340.21 ,"$396,000 ",7/13/2015,40,40
109,8679461,S,1B,3502 Lakeland DR,78731,3,2,0,3,1,0,1959,0.25,"2,159",$196.85 ,"$425,000 ",$191.06 ,"$412,500 ",8/21/2015,7,7
110,5145976,S,1B,5702 SAM HOUSTON CIR,78731,3,2,0,1,1,2,1984,0.17,"1,848",$224.57 ,"$415,000 ",$224.57 ,"$415,000 ",7/23/2015,3,3
111,3582745,S,1B,601 Theresa Ave,78703,2,1,0,1,1,1,1926,0.11,"1,164",$386.60 ,"$450,000 ",$365.12 ,"$425,000 ",12/29/2015,30,30
112,1392511,S,1B,709 Norwalk LN,78703,3,1,0,1,1,1,1941,0.14,784,$669.64 ,"$525,000 ",$542.09 ,"$425,000 ",9/1/2015,19,19
113,3737532,S,1B,5205 Valley Oak DR,78731,3,1,0,1,1,1,1950,0.31,"1,088",$413.60 ,"$450,000 ",$400.74 ,"$436,000 ",10/23/2015,11,11
114,3648989,S,1B,1612 W 11th ST,78703,1,1,0,1,2,0,1922,0.08,656,$708.84 ,"$465,000 ",$708.84 ,"$465,000 ",11/4/2015,10,10
115,9431981,S,1B,1518 W 9th ST,78703,2,1,0,1,1,1,1926,0.13,958,$469.73 ,"$450,000 ",$485.39 ,"$465,000 ",8/7/2015,5,5
116,4185738,S,1B,5812 Tom Wooten DR,78731,3,2,1,1,2,2,1985,0.16,"2,155",$222.27 ,"$479,000 ",$218.33 ,"$470,500 ",12/15/2015,19,19
117,7034125,S,1B,804 Newman DR,78703,3,1,0,1,1,0,1948,0.18,"1,180",$423.73 ,"$500,000 ",$399.15 ,"$471,000 ",7/23/2015,21,66
118,1016449,S,1B,5620 Parade RDG,78731,4,3,0,1,2,2,1985,0.09,"2,270",$209.47 ,"$475,500 ",$209.47 ,"$475,500 ",12/21/2015,5,5
119,7625376,S,1B,1100 Toyath ST,78703,2,1,0,1,1,0,1928,0.14,912,$525.22 ,"$479,000 ",$548.25 ,"$500,000 ",7/15/2015,4,4
120,2390525,S,1B,5806 KARANKAWA CV,78731,3,2,1,1,2,2,1980,0.15,"2,376",$210.44 ,"$500,000 ",$212.54 ,"$505,000 ",12/8/2015,42,42
121,9256568,S,1B,2317 W 8th ST,78703,2,1,0,1,1,1,1951,0.14,960,$546.88 ,"$525,000 ",$530.47 ,"$509,250 ",7/1/2015,4,4
122,6729294,S,1B,5608 Courtyard CV,78731,3,2,1,1,2,2,1983,0,"2,169",$228.22 ,"$495,000 ",$237.44 ,"$515,000 ",9/30/2015,3,3
123,6294772,S,1B,2404 W 7th ST,78703,3,2,0,1,1,0,1948,0.14,"1,381",$383.78 ,"$530,000 ",$378.71 ,"$523,000 ",11/16/2015,100,100
124,8545592,S,1B,1809 W 29th ST,78703,3,2,0,2,1,0,1947,0.2,"1,518",$368.91 ,"$560,000 ",$347.07 ,"$526,852 ",11/25/2015,28,28
125,1854591,S,1B,5004 Balcones DR,78731,3,2,0,2,1,2,1955,0.32,"2,298",$230.64 ,"$530,000 ",$230.64 ,"$530,000 ",11/5/2015,1,1
126,9705932,S,1B,5803 Karankawa CV,78731,3,2,1,1,2,2,1985,0.13,"2,127",$259.52 ,"$552,000 ",$263.28 ,"$560,000 ",8/24/2015,3,3
127,5164233,S,1B,3211 Bryker DR,78703,2,2,0,1,1,0,1941,0.14,"1,373",$433.36 ,"$595,000 ",$415.15 ,"$570,000 ",10/1/2015,25,25
128,2466101,S,1B,1701 W 34th ST,78703,2,2,0,1,1,0,1946,0.08,"1,120",$535.71 ,"$599,999 ",$510.71 ,"$572,000 ",8/28/2015,10,10
129,3786127,S,1B,2401 Pruett ST,78703,3,2,0,1,1,0,1949,0.14,"1,082",$540.67 ,"$585,000 ",$537.55 ,"$581,628 ",12/3/2015,14,14
130,4096887,S,1B,1120 W 7th ST,78703,2,2,0,2,2,0,1910,0.12,"1,675",$376.06 ,"$629,900 ",$352.24 ,"$590,000 ",12/21/2015,21,21
131,3023786,S,1B,1801 Mohle DR,78703,2,1,0,1,1,2,1945,0.23,"1,279",$484.75 ,"$619,995 ",$464.43 ,"$594,000 ",8/5/2015,20,20
132,6436582,S,1B,3302 Hancock DR,78731,4,3,1,2,2,1,1950,0.18,"2,621",$228.54 ,"$599,000 ",$227.01 ,"$595,000 ",8/24/2015,37,47
133,2051688,S,1B,1909 Winsted LN,78703,3,2,0,3,1,0,1950,0.22,"2,095",$305.49 ,"$640,000 ",$286.40 ,"$600,000 ",12/17/2015,73,73
134,1862047,S,1B,1906 Bremen ST,78703,4,2,0,1,1,1,1945,0.19,"1,820",$315.93 ,"$575,000 ",$330.77 ,"$602,000 ",7/15/2015,3,3
135,7250872,S,1B,5109 Crestway DR,78731,3,2,0,1,1,1,1950,0.2,"1,754",$370.58 ,"$650,000 ",$347.78 ,"$610,000 ",7/9/2015,4,4
136,4199090,S,1B,3004 Funston ST,78703,4,3,1,2,2,0,2014,0.12,"2,388",$265.87 ,"$634,900 ",$257.91 ,"$615,900 ",7/24/2015,41,123
137,7738983,S,1B,2302 Johnson ST,78703,2,2,1,2,2,0,2007,0.06,"1,564",$402.17 ,"$629,000 ",$396.42 ,"$620,000 ",9/24/2015,2,2
138,4502961,S,1B,3217 Funston ST,78703,3,3,0,1,2,1,2009,0.13,"1,739",$393.85 ,"$684,900 ",$366.30 ,"$637,000 ",7/30/2015,21,108
139,7450092,S,1B,1506 W 30th ST,78703,2,1,1,2,1,1,1937,0.15,"1,281",$506.64 ,"$649,000 ",$498.83 ,"$639,000 ",8/21/2015,6,6
140,7558546,S,1B,1704 Wethersfield RD,78703,3,3,0,1,1,0,1937,0.14,"1,721",$377.63 ,"$649,900 ",$377.69 ,"$650,000 ",10/14/2015,,
141,5572224,S,1B,2411 Sharon LN,78703,2,2,0,1,1,1,1948,0.13,"1,265",$513.83 ,"$650,000 ",$517.79 ,"$655,000 ",9/4/2015,5,5
142,8502959,S,1B,5002 Balcones DR,78731,3,2,0,2,1,1,1951,0.37,"1,713",$385.23 ,"$659,900 ",$383.19 ,"$656,400 ",9/4/2015,22,22
143,1353535,S,1B,2111 W 11th ST,78703,3,2,0,2,1,2,1948,0.26,"1,690",$413.61 ,"$699,000 ",$389.94 ,"$659,000 ",10/1/2015,44,44
144,8991255,S,1B,1710 Palma PLZ,78703,3,2,0,2,1,2,1933,0.2,"2,489",$291.28 ,"$725,000 ",$271.19 ,"$675,000 ",6/18/2015,4,4
145,7556260,S,1B,5405 N Scout Island CIR,78731,5,3,1,3,2,2,1994,0.22,"3,524",$195.52 ,"$689,000 ",$193.67 ,"$682,500 ",8/5/2015,6,6
146,7655843,S,1B,18 MARGRANITA CRES,78703,3,2,0,2,1,0,1948,0.22,"1,875",$383.47 ,"$719,000 ",$365.33 ,"$685,000 ",10/7/2015,92,92
147,4852805,S,1B,1311 Westover RD,78703,2,1,0,1,1,2,1937,0.16,"1,084",$645.74 ,"$699,987 ",$635.61 ,"$689,000 ",12/18/2015,10,10
148,8658754,S,1B,26 Margranita CRES,78703,3,2,0,1,1,2,1947,0.21,"1,701",$405.06 ,"$689,000 ",$405.06 ,"$689,000 ",8/18/2015,5,5
149,5722907,S,1B,4602 Madrona DR,78731,4,3,0,2,1,2,1955,0.4,"2,095",$355.61 ,"$745,000 ",$333.65 ,"$699,000 ",9/14/2015,47,47
