,Zip,Sqft Total,List Price,Sold/Lease$/SqFt,Sold/Lease Price,Sold/Lease Date
36,78759,"2,299","$568,000 ",$239.65 ,"$550,960 ",11/16/2015
37,78731,"2,539","$565,000 ",$217.03 ,"$551,050 ",9/28/2015
38,78731,"1,893","$545,000 ",$293.19 ,"$555,000 ",11/10/2015
39,78759,"2,955","$565,000 ",$187.82 ,"$555,000 ",8/20/2015
40,78731,"2,217","$575,000 ",$252.59 ,"$560,000 ",8/27/2015
41,78731,"2,302","$545,000 ",$244.51 ,"$562,854 ",7/20/2015
42,78759,"2,198","$569,000 ",$256.14 ,"$563,000 ",9/1/2015
43,78731,"2,482","$565,000 ",$229.45 ,"$569,500 ",7/2/2015
44,78759,"2,381","$598,000 ",$241.50 ,"$575,000 ",12/28/2015
45,78731,"2,052","$529,000 ",$282.65 ,"$580,000 ",6/22/2015
46,78731,"2,150","$560,000 ",$272.09 ,"$585,000 ",12/15/2015
47,78731,"2,756","$599,000 ",$217.34 ,"$599,000 ",10/19/2015
48,78731,"2,209","$599,000 ",$271.62 ,"$600,000 ",8/24/2015
49,78759,"2,362","$625,000 ",$256.14 ,"$605,000 ",7/16/2015
50,78731,"3,078","$599,000 ",$196.72 ,"$605,500 ",9/29/2015
51,78731,"2,116","$625,000 ",$287.10 ,"$607,500 ",9/11/2015
52,78731,"2,817","$615,000 ",$218.32 ,"$615,000 ",7/31/2015
53,78731,"2,562","$579,000 ",$240.05 ,"$615,000 ",7/30/2015
54,78731,"2,699","$635,000 ",$228.23 ,"$616,000 ",9/28/2015
55,78731,"2,254","$625,000 ",$279.06 ,"$629,000 ",10/5/2015
56,78759,"2,655","$650,000 ",$237.29 ,"$630,000 ",8/31/2015
57,78731,"2,757","$635,000 ",$228.51 ,"$630,000 ",8/18/2015
58,78731,"2,224","$630,000 ",$284.62 ,"$633,000 ",7/15/2015
59,78731,"2,392","$665,000 ",$266.30 ,"$637,000 ",9/15/2015
60,78731,"2,782","$619,900 ",$230.05 ,"$640,000 ",6/25/2015
61,78731,"2,398","$635,000 ",$268.97 ,"$645,000 ",12/18/2015
62,78759,"2,456","$635,000 ",$262.62 ,"$645,000 ",7/24/2015
63,78731,"2,622","$699,000 ",$247.90 ,"$650,000 ",10/30/2015
64,78731,"3,012","$675,000 ",$215.80 ,"$650,000 ",9/30/2015
65,78731,"3,675","$690,000 ",$178.23 ,"$655,000 ",8/24/2015
66,78731,"2,932","$699,000 ",$226.64 ,"$664,500 ",11/30/2015
67,78731,"2,789","$700,000 ",$238.44 ,"$665,000 ",12/1/2015
68,78759,"3,020","$679,000 ",$221.85 ,"$670,000 ",8/27/2015
69,78731,"2,683","$699,000 ",$251.58 ,"$675,000 ",12/29/2015
70,78731,"2,289","$674,900 ",$295.33 ,"$676,000 ",11/2/2015
71,78731,"3,095","$699,900 ",$220.36 ,"$682,000 ",9/11/2015
72,78731,"3,153","$710,000 ",$216.78 ,"$683,500 ",9/17/2015
73,78731,"3,093","$675,000 ",$221.47 ,"$685,000 ",7/6/2015
74,78731,"2,849","$699,000 ",$240.96 ,"$686,500 ",9/8/2015
75,78731,"2,340","$685,000 ",$294.87 ,"$690,000 ",7/30/2015
76,78731,"3,230","$699,000 ",$214.24 ,"$692,000 ",8/31/2015
77,78731,"3,122","$719,500 ",$222.07 ,"$693,293 ",8/31/2015
78,78731,"2,945","$695,000 ",$235.99 ,"$695,000 ",10/15/2015
79,78731,"3,231","$699,500 ",$216.50 ,"$699,500 ",8/26/2015
80,78731,"3,465","$727,600 ",$202.02 ,"$700,000 ",7/16/2015
81,78759,"2,123","$679,900 ",$332.08 ,"$705,000 ",12/21/2015
82,78731,"2,708","$699,000 ",$262.56 ,"$711,000 ",11/16/2015
83,78759,"3,601","$749,750 ",$201.33 ,"$725,000 ",11/19/2015
